game_name|game_ext|game_size
Castlevania - Dracula X (USA) (Castlevania Advance Collection)|.zip|1262574
Castlevania - Dracula X (USA)|.zip|1261815
Castlevania - Vampire's Kiss (Europe) (Castlevania Advance Collection)|.zip|1260137
Castlevania - Vampire's Kiss (Europe)|.zip|1259489
Champions - World Class Soccer (Europe) (En,Fr,De,Es)|.zip|560877
Champions - World Class Soccer (Japan)|.zip|549260
Champions - World Class Soccer (USA) (En,Fr,De,Es)|.zip|560872
Championship Pool (Europe)|.zip|418977
Championship Pool (USA)|.zip|418971
Championship Soccer '94 (USA) (En,Fr,De,It)|.zip|235846
Chaos Engine, The (Europe)|.zip|984313
Chaos Seed - Fuusui Kairouki (Japan)|.zip|1931218
Chavez (USA) (Beta)|.zip|412841
Chavez (USA) (Es)|.zip|412686
Chavez II (USA) (Es)|.zip|664493
Chessmaster, The (Europe)|.zip|108005
Chessmaster, The (Japan)|.zip|106682
Chessmaster, The (USA)|.zip|112111
Chester Cheetah - Too Cool to Fool (USA)|.zip|376570
Chester Cheetah - Wild Wild Quest (USA) (Beta)|.zip|688231
Chester Cheetah - Wild Wild Quest (USA)|.zip|646500
Chibi Maruko-chan - Harikiri 365-nichi no Maki (Japan)|.zip|236885
Chibi Maruko-chan - Mezase! Minami no Island!! (Japan) (Beta)|.zip|793452
Chibi Maruko-chan - Mezase! Minami no Island!! (Japan)|.zip|1538391
Chinhai (Japan)|.zip|380206
Choplifter III (Europe)|.zip|388229
Choplifter III - Rescue-Survive (Japan) (En)|.zip|388074
Choplifter III - Rescue-Survive (USA) (Beta 1)|.zip|386517
Choplifter III - Rescue-Survive (USA) (Beta 2)|.zip|387289
Choplifter III - Rescue-Survive (USA)|.zip|387209
Chou Aniki - Bakuretsu Rantou Hen (Japan)|.zip|1047357
Chou Gojira - Super Godzilla (Japan) (Rev 1)|.zip|756308
Chou Gojira - Super Godzilla (Japan)|.zip|756290
Chou Mahou Tairiku WOZZ (Japan)|.zip|2150884
Chou Makai Taisen! Dorabocchan (Japan) (Beta) (1992-12-21)|.zip|766672
Chou Makai Taisen! Dorabocchan (Japan)|.zip|763356
Chou Makaimura (Japan) (Beta) (1991-06-26)|.zip|614720
Chou Makaimura (Japan) (Virtual Console, Switch Online)|.zip|667418
Chou Makaimura (Japan)|.zip|667338
Choujikuu Yousai Macross - Scrambled Valkyrie (Japan) (En)|.zip|639280
Choukou Gasshin Xardion (Japan)|.zip|654607
Chrono Trigger (Japan) (Taikenban Sample ROM)|.zip|2651710
Chrono Trigger (Japan)|.zip|3092492
Chrono Trigger (USA)|.zip|3074628
Chuck Rock (Europe)|.zip|494990
Chuck Rock (USA) (Beta)|.zip|470663
Chuck Rock (USA)|.zip|503239
Circuit USA (Japan) (En)|.zip|1392405
Civilization - Sekai Shichi Daibunmei (Japan)|.zip|771477
Classic Kong (World) (Aftermarket) (Unl)|.zip|102846
Classic Kong Complete (World) (v2.0) (Aftermarket) (Unl)|.zip|85184
Classic Kong Complete (World) (v2.01) (Aftermarket) (Unl)|.zip|85201
Classic Road (Japan)|.zip|651449
Classic Road II (Japan)|.zip|1276810
Clay Fighter (Europe)|.zip|1701147
Clay Fighter (USA) (Beta) (1993-09-28) [b]|.zip|877897
Clay Fighter (USA) (Beta)|.zip|1701134
Clay Fighter (USA)|.zip|1722951
Clay Fighter - Tournament Edition (USA)|.zip|2192628
Clay Fighter 2 - Judgment Clay (Europe)|.zip|2190599
Clay Fighter 2 - Judgment Clay (USA)|.zip|2190763
Claymates (Europe) (Beta) (Alt)|.zip|714519
Claymates (Europe) (Beta)|.zip|714507
Claymates (Europe)|.zip|714468
Claymates (USA) (Beta)|.zip|328239
Claymates (USA)|.zip|714397
Cliffhanger (Europe)|.zip|579847
Cliffhanger (USA)|.zip|579842
Clock Tower (Japan) (Beta)|.zip|1714128
Clock Tower (Japan)|.zip|1683568
Clockwerx (Japan)|.zip|168630
Clue (USA)|.zip|335928
College Football USA 97 (USA)|.zip|1001114
College Slam (USA) (Beta)|.zip|1687218
College Slam (USA)|.zip|1687218
